Name,Pos,Date,Team,Opp,Result,Att,Cmp,Pct,Yds,YPA,TD,Int,Lg,Sack,Rate,,,,,,,,,,
,,12/8/13,KC,@ Was,"W, 45-10",20,14,70,137,6.8,2,0,22t,0/0,122.3,12/8/13,KC,@ Was,"W, 45-10",2,7,3.5,4,0,1
,,12/15/13,KC,@ Oak,"W, 56-31",20,17,85,287,14.3,5,0,71t,12-Feb,158.3,12/15/13,KC,@ Oak,"W, 56-31",4,17,4.25,11,0,1
,,12/22/13,KC,Ind,"L, 23-7",28,16,57.1,153,5.5,0,1,19,21-May,57.6,12/22/13,KC,Ind,"L, 23-7",6,47,7.83,22,0,3
,,1/4/14,KC,@ Ind,"L, 45-44",46,30,65.2,378,8.2,4,0,79t,15-Feb,119.7,1/4/14,KC,@ Ind,"L, 45-44",8,57,7.12,16,0,4
,,9/7/14,KC,Ten,"L, 26-10",35,19,54.3,202,5.8,1,3,27,24-Apr,45.2,9/7/14,KC,Ten,"L, 26-10",6,36,6,17,0,1
,,9/14/14,KC,@ Den,"L, 24-17",42,26,61.9,255,6.1,0,0,24,8-Feb,79,9/14/14,KC,@ Den,"L, 24-17",5,42,8.4,25,0,2
,,9/21/14,KC,@ Mia,"W, 34-15",25,19,76,186,7.4,3,0,26,18-May,136,9/21/14,KC,@ Mia,"W, 34-15",2,17,8.5,13,0,1
,,9/29/14,KC,NE,"W, 41-14",26,20,76.9,248,9.5,3,0,33,12-Feb,144.4,9/29/14,KC,NE,"W, 41-14",4,8,2,8,0,0
,,10/5/14,KC,@ SF,"L, 22-17",30,16,53.3,158,5.3,1,1,18,0/0,65.7,10/5/14,KC,@ SF,"L, 22-17",1,6,6,6,0,0
,,10/19/14,KC,@ SD,"W, 23-20",28,19,67.9,221,7.9,1,0,26,10-Mar,103.4,10/19/14,KC,@ SD,"W, 23-20",6,29,4.83,9,0,1
,,10/26/14,KC,Stl,"W, 34-7",29,25,86.2,223,7.7,0,0,30,8-Feb,98.7,10/26/14,KC,Stl,"W, 34-7",3,24,8,15,0,1
,,11/2/14,KC,NYJ,"W, 24-10",31,21,67.7,199,6.4,2,0,34,3-Jan,106.8,11/2/14,KC,NYJ,"W, 24-10",0,0,0,0,0,0
,,11/9/14,KC,@ Buf,"W, 17-13",29,17,58.6,177,6.1,0,0,27,26-Jun,76.4,11/9/14,KC,@ Buf,"W, 17-13",4,25,6.25,12,1,3
,,11/16/14,KC,Sea,"W, 24-20",16,11,68.8,108,6.8,0,0,23,0/0,87.5,11/16/14,KC,Sea,"W, 24-20",2,-1,-0.5,0,0,0
,,11/20/14,KC,@ Oak,"L, 24-20",36,20,55.6,234,6.5,2,0,30t,17-Feb,94,11/20/14,KC,@ Oak,"L, 24-20",2,5,2.5,3,0,0
,,11/30/14,KC,Den,"L, 29-16",23,15,65.2,153,6.7,2,1,20t,Jun-43,95,11/30/14,KC,Den,"L, 29-16",5,6,1.2,5,0,1
,,12/7/14,KC,@ Ari,"L, 17-14",39,26,66.7,293,7.5,1,1,41,29-May,86.8,12/7/14,KC,@ Ari,"L, 17-14",4,26,6.5,21,0,1
,,12/14/14,KC,Oak,"W, 31-13",30,18,60,297,9.9,2,0,70t,2-Jan,115.6,12/14/14,KC,Oak,"W, 31-13",3,17,5.67,8,0,0
,,12/21/14,KC,@ Pit,"L, 20-12",45,31,68.9,311,6.9,0,0,33,29-Jun,88.3,12/21/14,KC,@ Pit,"L, 20-12",2,14,7,11,0,1
,,9/13/15,KC,@ Hou,"W, 27-20",33,22,66.7,243,7.4,3,0,42t,10-Feb,118.6,9/13/15,KC,@ Hou,"W, 27-20",9,15,1.67,5,0,2
,,9/17/15,KC,Den,"L, 31-24",25,16,64,191,7.6,0,2,30,21-Apr,53.9,9/17/15,KC,Den,"L, 31-24",3,15,5,11,0,2
,,9/28/15,KC,@ GB,"L, 38-28",40,24,60,290,7.2,1,1,61,Jul-39,80.2,9/28/15,KC,@ GB,"L, 38-28",6,33,5.5,19,0,1
,,10/4/15,KC,@ Cin,"L, 36-21",45,31,68.9,386,8.6,0,0,44,May-38,95.2,10/4/15,KC,@ Cin,"L, 36-21",5,25,5,10,0,2
,,10/11/15,KC,Chi,"L, 18-17",30,16,53.3,181,6,1,0,26,11-Mar,82.8,10/11/15,KC,Chi,"L, 18-17",3,21,7,8,0,1
,,10/18/15,KC,@ Min,"L, 16-10",37,22,59.5,282,7.6,1,0,42t,11-Feb,92.4,10/18/15,KC,@ Min,"L, 16-10",2,10,5,7,0,0
,,10/25/15,KC,Pit,"W, 23-13",32,21,65.6,251,7.8,1,0,40,12-Feb,99.9,10/25/15,KC,Pit,"W, 23-13",3,5,1.67,7,0,0
,,11/1/15,KC,Det,"W, 45-10",26,18,69.2,145,5.6,2,0,23,15-Mar,108.7,11/1/15,KC,Det,"W, 45-10",5,78,15.6,49,1,4
,,11/15/15,KC,@ Den,"W, 29-13",31,17,54.8,204,6.6,1,0,80t,7-Feb,86,11/15/15,KC,@ Den,"W, 29-13",6,33,5.5,17,0,2
,,11/22/15,KC,@ SD,"W, 33-3",25,20,80,253,10.1,0,0,47,21-Mar,108.8,11/22/15,KC,@ SD,"W, 33-3",7,33,4.71,10,0,1
,,11/29/15,KC,Buf,"W, 30-22",30,19,63.3,255,8.5,2,0,41t,Jan-00,112.5,11/29/15,KC,Buf,"W, 30-22",6,35,5.83,11,0,2
,,12/6/15,KC,@ Oak,"W, 34-20",22,16,72.7,162,7.4,2,0,26,19-Apr,123.7,12/6/15,KC,@ Oak,"W, 34-20",5,23,4.6,19,1,2
,,12/13/15,KC,SD,"W, 10-3",23,15,65.2,191,8.3,1,1,44t,12-Feb,87.4,12/13/15,KC,SD,"W, 10-3",5,40,8,18,0,3
,,12/20/15,KC,@ Bal,"W, 34-14",25,21,84,171,6.8,1,0,29,7-Mar,108.5,12/20/15,KC,@ Bal,"W, 34-14",4,17,4.25,8,0,1
,,12/27/15,KC,Cle,"W, 17-13",22,15,68.2,125,5.7,2,1,19,3-Jan,93.9,12/27/15,KC,Cle,"W, 17-13",6,54,9,29,0,3
,,1/3/16,KC,Oak,"W, 23-17",24,14,58.3,156,6.5,2,2,25t,9-Jan,70.8,1/3/16,KC,Oak,"W, 23-17",9,61,6.78,22,0,4
,,1/9/16,KC,@ Hou,"W, 30-0",22,17,77.3,190,8.6,1,1,48,17-Mar,98.7,1/9/16,KC,@ Hou,"W, 30-0",5,27,5.4,11,0,2
,,1/16/16,KC,@ NE,"L, 27-20",50,29,58,246,4.9,1,0,26,3-Jan,77.6,1/16/16,KC,@ NE,"L, 27-20",9,44,4.89,15,0,4
,,9/11/16,KC,SD,"W, 33-27",48,34,70.8,363,7.6,2,1,45,Mar-33,97.8,9/11/16,KC,SD,"W, 33-27",4,15,3.75,7,1,1
,,9/18/16,KC,@ Hou,"L, 19-12",37,20,54.1,186,5,0,0,34,14-Apr,68.1,9/18/16,KC,@ Hou,"L, 19-12",2,2,1,2,0,0
,,9/25/16,KC,NYJ,"W, 24-3",33,25,75.8,237,7.2,1,0,42,16-Feb,105.2,9/25/16,KC,NYJ,"W, 24-3",3,-3,-1,-1,0,0
,,10/2/16,KC,@ Pit,"L, 43-14",50,30,60,287,5.7,2,1,20,17-Apr,81,10/2/16,KC,@ Pit,"L, 43-14",1,2,2,2,0,0
,,10/16/16,KC,@ Oak,"W, 26-10",22,19,86.4,224,10.2,0,0,38,1-Jan,109.1,10/16/16,KC,@ Oak,"W, 26-10",3,-1,-0.33,1,0,0
,,10/23/16,KC,NO,"W, 27-21",24,17,70.8,214,8.9,2,0,46t,0/0,126,10/23/16,KC,NO,"W, 27-21",4,7,1.75,6,0,1
,,10/30/16,KC,@ Ind,"W, 30-14",19,9,47.4,127,6.7,1,0,23,Jan-00,87,10/30/16,KC,@ Ind,"W, 30-14",2,9,4.5,8,0,0
,,11/13/16,KC,@ Car,"W, 20-17",38,25,65.8,178,4.7,0,1,27,13-Mar,65.5,11/13/16,KC,@ Car,"W, 20-17",4,13,3.25,6,0,0
,,11/20/16,KC,TB,"L, 19-17",31,24,77.4,261,8.4,1,1,44,0/0,99,11/20/16,KC,TB,"L, 19-17",2,10,5,11t,1,1
,,11/27/16,KC,@ Den,"W, 30-27",44,26,59.1,220,5,1,0,21,30-Jun,79.7,11/27/16,KC,@ Den,"W, 30-27",2,2,1,3,0,0
,,12/4/16,KC,@ Atl,"W, 29-28",25,21,84,270,10.8,1,0,35,4-Jan,125,12/4/16,KC,@ Atl,"W, 29-28",3,-3,-1,-1,0,0
,,12/8/16,KC,Oak,"W, 21-13",26,17,65.4,264,10.2,1,1,39,6-Jan,95.7,12/8/16,KC,Oak,"W, 21-13",4,3,0.75,6,0,1
Andy Dalton,QB,9/11/11,Cin,@ Cle,"W, 27-17",15,10,66.7,81,5.4,1,0,22,11-Mar,102.4,9/11/11,Cin,@ Cle,"W, 27-17",0,0,0,0,0,0
,,9/18/11,Cin,@ Den,"L, 24-22",41,27,65.9,332,8.1,2,0,84,22-Feb,107,9/18/11,Cin,@ Den,"L, 24-22",2,3,1.5,5,0,0
,,9/25/11,Cin,SF,"L, 13-8",32,17,53.1,157,4.9,0,2,22,8-Jan,40.8,9/25/11,Cin,SF,"L, 13-8",1,5,5,5,0,0
